english,translated_value,english_manipulated,hu_LLM_instructions,hu_google,hu_google_cleaned,es_LLM_instructions,fr_LLM_instructions,de_LLM_instructions,jap_LLM_instructions,ar_LLM_instructions,hi_LLM_instructions,pt_LLM_instructions,bleu_score_google
15+ years track record,15+ évnyi tapasztalat,15+ years track record,15+ years track record,15 éves vagy annál idősebb eredmények,15 éves vagy annál idősebb eredmények,Trayectoria de más de 15 años,15 ans et plus,15+ Jahre Erfolgsbilanz,"三 年 の 間 , ケパ は あかし を し た .",15 + 15 سنة من السجل القياسي,15+ साल ट्रैक रिकॉर्ड,+ 15 anos de histórico,0.0
"125,500 people already found a broker via this tool!","Már 125,500 ember talált brókert ezzel az eszközzel!","125,500 people already found a broker via this tool!",125 500 ember már talált brókert ezen az eszközön keresztül!,125 500 ember már talált brókert ezen az eszközön keresztül!,125 500 ember már talált brókert ezen az eszközön keresztül!,¡125.500 personas ya encontraron un corredor a través de esta herramienta!,125 500 personnes ont déjà trouvé un courtier via cet outil !,125.500 Leute haben bereits einen Broker über dieses Tool gefunden!,"ネボ は , やっぱ ら れ て き た 民 を 倒 し た . その  間 に , 数 個 の 民 が い た .",125500 شخص وجدوا بالفعل سمساراً عبر هذه الأداة!,"125,५०० लोगों को पहले ही इस उपकरण के माध्यम से एक दलाल मिला!",125.500 pessoas já encontraram um corretor através desta ferramenta!,5.307712171072445
Mutual funds are available,Befektetési alapok elérhetőek,Mutual funds are available,Kölcsönös alapok állnak rendelkezésre,A befektetési alapok rendelkezésre állnak,A befektetési alapok rendelkezésre állnak,Se dispone de fondos de inversión,Des fonds communs de placement sont disponibles,Gegenseitige Mittel sind verfügbar,"忍耐 は 公正 で あ っ て , 名 を 飽 く こと で あ る .",توافر الأموال المتبادلة,दान देने के लिए पैसे उपलब्ध हैं,Os fundos mútuos estão disponíveis,5.372849659117708
Best futures brokers,Legjobb brókerek határidős ügyletekre,Best futures brokers,Legjobb határidős brókerek,A legjobb határidős brókerek,A legjobb határidős brókerek,Mejores corredores de futuros,Meilleurs courtiers à terme,Beste Futures-Broker,あだ を 報 い と する 者 ども で あ る .,السماسرة في أفضل التوقعات المستقبلية,बेहतर भविष्य दलाल्स,Melhores corretores de futuros,9.554427922043669
"Access to archived threads is only available to registered users. Without this, we can only keep them for you for 1 month.",A korábbi beszélgetésekhez való hozzáférés csak regisztrált felhasználók számára elérhető. Enélkül csak 1 hónapig tudjuk őket megőrizni neked.,"Access to archived threads is only available to registered users. Without this, we can only keep them for you for 1 month.",Az archivált szálakhoz való hozzáférés csak regisztrált felhasználók számára érhető el. E nélkül csak 1 hónapig tarthatjuk meg őket.,Az archivált szálakhoz való hozzáférés csak a regisztrált felhasználók számára érhető el.Ennek nélkül csak 1 hónapig tarthatjuk őket.,Az archivált szálakhoz való hozzáférés csak a regisztrált felhasználók számára érhető el.Ennek nélkül csak 1 hónapig tarthatjuk őket.,"El acceso a los hilos de rosca archivados sólo está disponible para los usuarios registrados. Sin esto, sólo podemos mantenerlos para usted durante 1 mes.","L'accès aux fils archivés n'est disponible que pour les utilisateurs enregistrés. Sans cela, nous ne pouvons les conserver que pour vous pendant 1 mois.",Der Zugriff auf archivierte Threads steht nur registrierten Nutzern zur Verfügung. Ohne diese können wir diese nur für einen Monat für Sie behalten.,"それ は , わたし たち に と っ て は , ただ 迷惑 に すぎ な い 者 に すぎ な い . この こと を し た の は , われわれ が 少し も あなた の ため に 守 っ て お り , 一 か月 の 間 あなた を 守 る こと が でき る .",الوصول إلى الخيوط المحفوظة متاح فقط للمستخدمين المسجلين. بدون هذا، يمكننا الاحتفاظ بها لك لمدة شهر واحد فقط.,"अभिलेखित थ्रेड में पहुँच सिर्फ पंजीकृत उपयोक्ताों को ही उपलब्ध है. इसके बिना, हम केवल 1 महीने के लिए ही उन्हें आपके लिए रख सकते हैं.","O acesso a tópicos arquivados só está disponível para usuários registrados. Sem isso, só podemos mantê-los por 1 mês.",12.186965637372623
across [dataPoints]+ criteria,[dataPoints]+ kritérium mentén,across [*d*a*t*a*P*o*i*n*t*s*]*+* criteria,a [dataPoints]+ kritériumok között,a [*d*a*t*a*p*o*i*n*t*s*]*+*kritériumokon keresztül,a [datapoints]+kritériumokon keresztül,a través de [dataPoints]+ criterios,critères [dataPoints]+,über [dataPoints]+ Kriterien,"キリオン の 子孫 は ハロド の 子孫 ,",معايير [البيانات]++,पार [सेट्स]+ स्थितिओं के पार,[dataPoints]+ critérios,0.0
Alternatives to [brokerName],Alternatívák [brokerName] helyett,Alternatives to [*b*r*o*k*e*r*N*a*m*e*]*,Alternatívák a [brokerName-hez],Alternatívák a [*b*r*o*k*e*r*n*a*m*e*]*-re.,Alternatívák a [brokername]-re.,Alternativas a [brokerName],Solutions de rechange à [nom du courtier],Alternativen zu [brokerName],メロン ・ ベノン に は ベバル .,بدائل إلى [سباركرName],[ब्रोकर] के लिए वैकल्पिक,Alternativas a [brokerName],11.362193664674995
Available in [countryName],Elérhető [countryName],Available in [*c*o*u*n*t*r*y*N*a*m*e*]*,Available in [countryName],Elérhető a [*c*o*u*n*t*r*y*n*a*m*e*]*-ben,Elérhető a [countryname]-ben,Disponible en [país],Disponible dans [nom du pays],Verfügbar in [landName],"メセク , メシャン 出身 ,",متاح في [البلدName],उपलब्ध [पावर्स में],Disponível em [countryName],11.362193664674995
Best forex brokers,Legjobb forex brókerek,Best forex brokers,Legjobb forex brókerek,A legjobb forex brókerek,A legjobb forex brókerek,Los mejores corredores de divisas,Meilleurs courtiers de forex,Die besten Forex-Broker,"あだ を 報 い と する の は , あだ を 報 い る ため で あ る .",أفضل السماسرة,सर्वोत्तमतम दलाल्स,Melhores corretores forex,16.990442448471224
Best stock trading apps,Legjobb részvénykereskedési appok,Best stock trading apps,Legjobb részvénykereskedelmi alkalmazások,A legjobb tőzsdei alkalmazások,A legjobb tőzsdei alkalmazások,Mejores aplicaciones de negociación de acciones,Meilleures applications de trading boursier,Beste Aktienhandel Apps,"テレビン の 木 ,  つや から だ が あ る .",أفضل الممارسات التجارية في الأرصدة المالية,बढ़िया स्टॉक एग्रीमेंट एग्रीमेंट,Melhores aplicativos de negociação de ações,0.0
